timestamp,gamma_rad,dgamma_radps,phi_rad,dphi_radps
3.9914796352, 3.0485022068, -0.0010902602, -0.0595484339, -0.0000000000
4.0014805794, 3.0485022068, 0.0011080239, -0.0595484339, -0.0000000000
4.0114803314, 3.0485022068, 0.0022189007, -0.0595484339, -0.0000000000
4.0214824677, 3.0485022068, 0.0011164175, -0.0595484339, -0.0000000000
4.0314826965, 3.0485022068, -0.0000005706, -0.0595484339, -0.0000000000
4.0414829254, 3.0485022068, 0.0000055408, -0.0595484339, -0.0000000000
4.0514826775, 3.0485022068, -0.0010847193, -0.0595484339, -0.0000000000
4.0614881516, 3.0485022068, -0.0000122228, -0.0595484339, -0.0000000000
4.0714859962, 3.0485022068, 0.0011036241, -0.0595484339, -0.0000000000
4.0814871788, 3.0485022068, -0.0000055408, -0.0595484339, -0.0000000000
4.0914926529, 3.0485022068, 0.0021449931, -0.0595484339, -0.0000000000
4.1014919281, 3.0485022068, 0.0010958011, -0.0595484339, -0.0000000000
4.1114969254, 3.0485022068, -0.0000116523, -0.0593914464, -0.0000000000
4.1214966774, 3.0485022068, -0.0011017871, -0.0593914464, -0.0000000000
4.1315193176, 3.0485022068, 0.0021684486, -0.0592344590, -0.0000000000
4.1414985657, 3.0485022068, 0.0010842998, -0.0592344590, -0.0000000000
4.1514987946, 3.0485022068, 0.0010913884, -0.0592344590, -0.0000000000
4.1614990234, 3.0485022068, 0.0010734682, -0.0592344590, -0.0000000000
4.1715044975, 3.0485022068, 0.0010908308, -0.0592344590, -0.0000000000
4.1815037727, 3.0485022068, 0.0010962465, -0.0592344590, -0.0000000000
4.1915068626, 3.0485022068, 0.0000065311, -0.0592344590, -0.0000000000
4.2015118599, 3.0485022068, -0.0000108314, -0.0592344590, -0.0000000000
4.2115116119, 3.0485022068, -0.0032730501, -0.0592344590, -0.0000000000
4.2215356827, 3.0485022068, 0.0010968042, -0.0592344590, -0.0000000000
4.2315154076, 3.0485022068, 0.0000119468, -0.0592344590, -0.0000000000
4.2415165901, 3.0485022068, -0.0021811039, -0.0592344590, -0.0000000000
4.2515192032, 3.0485022068, -0.0000108314, -0.0592344590, -0.0000000000
4.2615242004, 3.0485022068, 0.0000054157, -0.0592344590, -0.0000000000
4.2718892097, 3.0485022068, -0.0021822192, -0.0592344590, -0.0000000000
4.2815260887, 3.0485022068, -0.0021865196, -0.0592344590, -0.0000000000
4.2923431396, 3.0485022068, -0.0032588725, -0.0591410697, -0.0000000000
4.3026428223, 3.0485022068, -0.0011018467, -0.0591410697, -0.0000000000
4.3129148483, 3.0485022068, -0.0000121503, -0.0591410697, -0.0000000000
4.3231773376, 3.0485022068, -0.0032768662, -0.0591410697, -0.0000000000
4.3333802223, 3.0485022068, 0.0021628689, -0.0591410697, -0.0000000000
4.3437538147, 3.0485022068, -0.0000237334, -0.0591410697, -0.0000000000
4.3540282249, 3.0485022068, -0.0021932446, -0.0591410697, -0.0000000000
