time_sec,gamma_rad,dgamma_radps
6.8356080055, 3.0943720341, -0.0010554722
6.8456988335, 3.0943720341, -0.0021286237
6.8557453156, 3.0943720341, -0.0003210821
6.8657360077, 3.0943720341, -0.0021993408
6.8753924370, 3.0943720341, -0.0004271580
6.8858709335, 3.0943720341, 0.0003210821
6.8958401680, 3.0943720341, 0.0006952022
6.9059200287, 3.0943720341, -0.0028630139
6.9159073830, 3.0943720341, -0.0017368243
6.9259033203, 3.0943720341, 0.0004094787
6.9358839989, 3.0943720341, 0.0014964802
6.9459052086, 3.0943720341, 0.0017506743
6.9559087753, 3.0943720341, 0.0007128814
6.9659395218, 3.0943720341, 0.0017545036
6.9758133888, 3.0943720341, -0.0010416220
6.9859371185, 3.0943720341, 0.0004133080
6.9958763123, 3.0943720341, -0.0003387614
7.0058770180, 3.0943720341, 0.0007305608
7.0158867836, 3.0943720341, 0.0006775228
7.0258374214, 3.0943720341, 0.0021601529
7.0358366966, 3.0943720341, 0.0010377928
7.0458335876, 3.0943720341, -0.0007167107
7.0557818413, 3.0943720341, 0.0044655697
7.0657668114, 3.0943720341, -0.0006144642
