time_sec,gamma_rad,dgamma_radps
10.0650463104, 3.0973711014, -0.0009951396
10.0750465393, 3.0973711014, 0.0020408169
10.0850496292, 3.0973711014, 0.0010456773
10.0950174332, 3.0973711014, -0.0021762773
10.1050357819, 3.0973711014, -0.0011107154
10.1150360107, 3.0973711014, 0.0000451535
10.1250438690, 3.0973711014, -0.0021112394
10.1349430084, 3.0973711014, -0.0019053565
10.1449441910, 3.0973711014, -0.0009752550
10.1549482346, 3.0973711014, 0.0011865220
10.1648941040, 3.0973711014, -0.0051525803
10.1749000549, 3.0973711014, 0.0009752550
10.1848983765, 3.0973711014, -0.0009048327
10.1948690414, 3.0973711014, -0.0000956911
10.2048816681, 3.0973711014, 0.0000198847
10.2148551941, 3.0973711014, 0.0009048327
10.2248220444, 3.0973711014, 0.0000451535
10.2347936630, 3.0973711014, 0.0031063792
10.2447738647, 3.0973711014, -0.0021311240
10.2547760010, 3.0973711014, -0.0020859705
10.2647771835, 3.0973711014, 0.0000704223
10.2747812271, 3.0973711014, -0.0020859705
10.2847843170, 3.0973711014, 0.0001155757
10.2947854996, 3.0973711014, 0.0021365080
10.3047876358, 3.0973711014, -0.0020155483
10.3147907257, 3.0973711014, -0.0083293812
10.3247928619, 3.0973711014, -0.0041069030
10.3347930908, 3.0973711014, -0.0031117632
10.3447942734, 3.0973711014, -0.0011558689
10.3547983170, 3.0973711014, 0.0020408169
10.3647994995, 3.0973711014, -0.0009499862
10.3748035431, 3.0973711014, -0.0019451259
10.3848037720, 3.0973711014, -0.0061224513
10.3948850632, 3.0973711014, -0.0030612256
10.4049501419, 3.0973711014, -0.0010908308
10.4148292542, 3.0973711014, -0.0052880407
10.4249916077, 3.0973711014, 0.0011359842
10.4350700378, 3.0973711014, -0.0008849480
10.4451341629, 3.0973711014, -0.0011359842
10.4552021027, 3.0973711014, -0.0010204085
10.4651775360, 3.0973711014, -0.0031063792
10.4752483368, 3.0973711014, -0.0062632952
10.4853162766, 3.0973711014, -0.0010402931
10.4953022003, 3.0973711014, -0.0019252414
10.5053672791, 3.0973711014, -0.0020660858
10.5150365829, 3.0973711014, 0.0009499862
10.5251436234, 3.0973711014, 0.0019505100
10.5354757309, 3.0973711014, 0.0011811377
10.5455532074, 3.0973711014, -0.0001408446
10.5556325912, 3.0973711014, 0.0019956634
10.5656948090, 3.0973711014, 0.0030160721
10.5756721497, 3.0973711014, 0.0040364806
10.5857486725, 3.0973711014, -0.0000956911
10.5958137512, 3.0973711014, 0.0052627716
10.6058788300, 3.0973711014, 0.0007693722
10.6154499054, 3.0973711014, 0.0009301015
10.6259250641, 3.0973711014, 0.0051923492
10.6359996796, 3.0973711014, 0.0039913268
10.6460638046, 3.0973711014, 0.0008795641
10.6560497284, 3.0973711014, 0.0010908308
10.6661186218, 3.0973711014, -0.0000397693
10.6761894226, 3.0973711014, 0.0041321716
10.6862516403, 3.0973711014, 0.0083239973
10.6963357925, 3.0973711014, 0.0051020421
10.7062997818, 3.0973711014, 0.0029004961
10.7158842087, 3.0973711014, 0.0000000000
10.7263622284, 3.0973711014, 0.0041719410
10.7364063263, 3.0973711014, 0.0040617492
10.7464923859, 3.0973711014, 0.0000000000
10.7564802170, 3.0973711014, 0.0028806117
10.7665386200, 3.0973711014, 0.0000000000
10.7766036987, 3.0973711014, 0.0010655620
10.7865982056, 3.0973711014, -0.0000903070
10.7965984344, 3.0973711014, 0.0000000000
10.8066005707, 3.0973711014, 0.0052176183
10.8163795471, 3.0973711014, 0.0009048327
10.8265943527, 3.0973711014, -0.0000252689
10.8365697861, 3.0973711014, 0.0011359842
10.8466339111, 3.0973711014, -0.0010005238
10.8566236496, 3.0973711014, 0.0019956634
10.8665695190, 3.0973711014, 0.0009499862
10.8765726089, 3.0973711014, 0.0048961602
10.8865833282, 3.0973711014, -0.0044536302
10.8965721130, 3.0973711014, -0.0010204085
10.9065151215, 3.0973711014, 0.0041520563
10.9165267944, 3.0973711014, 0.0051471954
10.9265260696, 3.0973711014, -0.0000252689
10.9364681244, 3.0973711014, 0.0031569165
10.9464740753, 3.0973711014, 0.0041069030
10.9564495087, 3.0973711014, 0.0051724645
10.9664220810, 3.0973711014, 0.0061025657
10.9764175415, 3.0973711014, 0.0009499862
10.9864110947, 3.0973711014, 0.0020209323
10.9963655472, 3.0973711014, 0.0030612256
11.0063533783, 3.0973711014, 0.0018800879
11.0163555145, 3.0973711014, 0.0011612531
11.0263576508, 3.0973711014, -0.0011413684
11.0363035202, 3.0973711014, 0.0051724645
11.0463132858, 3.0973711014, 0.0001155757
11.0563068390, 3.0973711014, -0.0052880407
11.0662727356, 3.0973711014, 0.0000956911
11.0762681961, 3.0973711014, -0.0052880407
11.0862522125, 3.0973711014, -0.0010655620
11.0962543488, 3.0973711014, 0.0053079249
11.1061925888, 3.0973711014, -0.0009752550
11.1162014008, 3.0973711014, -0.0030160721
11.1261863708, 3.0973711014, -0.0011811377
11.1361541748, 3.0973711014, -0.0021816615
11.1461429596, 3.0973711014, -0.0051525803
11.1561498642, 3.0973711014, -0.0030413407
11.1661119461, 3.0973711014, 0.0010456773
11.1760911942, 3.0973711014, -0.0020209323
11.1860895157, 3.0973711014, 0.0042477474
11.1960906982, 3.0973711014, 0.0019252414
11.2060337067, 3.0973711014, 0.0032020700
11.2160263062, 3.0973711014, -0.0052428870
11.2260293961, 3.0973711014, 0.0000000000
11.2359800339, 3.0973711014, -0.0012064066
11.2459831238, 3.0973711014, -0.0030864943
11.2560052872, 3.0973711014, -0.0020660858
11.2659740448, 3.0973711014, -0.0011359842
11.2759304047, 3.0973711014, 0.0020859705
11.2859344482, 3.0973711014, -0.0021563927
11.2959203720, 3.0973711014, 0.0000451535
11.3058776855, 3.0973711014, 0.0019956634
11.3158712387, 3.0973711014, 0.0021816615
11.3258762360, 3.0973711014, -0.0052627716
11.3358440399, 3.0973711014, 0.0029709185
11.3458280563, 3.0973711014, 0.0031063792
11.3558139801, 3.0973711014, -0.0031316476
11.3658151627, 3.0973711014, -0.0008795641
11.3757562637, 3.0973711014, 0.0002058828
11.3857679367, 3.0973711014, 0.0019703950
11.3957738876, 3.0973711014, 0.0010908308
11.4057121277, 3.0973711014, 0.0021112394
11.4157161713, 3.0973711014, -0.0011107154
11.4257202148, 3.0973711014, -0.0021563927
11.4357213974, 3.0973711014, -0.0052627716
11.4456539154, 3.0973711014, -0.0051724645
11.4556560516, 3.0973711014, -0.0042676320
11.4656677246, 3.0973711014, 0.0042224787
11.4756097794, 3.0973711014, -0.0033176460
11.4855985641, 3.0973711014, -0.0010655620
11.4956007004, 3.0973711014, -0.0052880407
11.5056018829, 3.0973711014, -0.0020607018
11.5155525208, 3.0973711014, -0.0041972101
11.5255718231, 3.0973711014, -0.0012262913
11.5355501175, 3.0973711014, 0.0039209044
11.5455045700, 3.0973711014, 0.0021112394
11.5554962158, 3.0973711014, 0.0001806139
11.5655002594, 3.0973711014, 0.0032165705
11.5754528046, 3.0973711014, 0.0019252414
11.5854454041, 3.0973711014, 0.0031966860
11.5954437256, 3.0973711014, 0.0009752550
11.6054182053, 3.0973711014, -0.0010204085
11.6154003143, 3.0973711014, 0.0021058554
11.6253948212, 3.0973711014, -0.0010257927
11.6353921890, 3.0973711014, -0.0011865220
11.6453342438, 3.0973711014, -0.0000956911
11.6553373337, 3.0973711014, 0.0000198847
11.6653375626, 3.0973711014, 0.0032923769
11.6753406525, 3.0973711014, -0.0063337181
11.6853275299, 3.0973711014, -0.0020209323
11.6953306198, 3.0973711014, 0.0030612256
11.7053308487, 3.0973711014, 0.0063283332
11.7152376175, 3.0973711014, 0.0043380545
11.7252359390, 3.0973711014, 0.0012010224
11.7352380753, 3.0973711014, 0.0010150245
11.7452039719, 3.0973711014, 0.0020155483
11.7551879883, 3.0973711014, 0.0000000000
11.7651910782, 3.0973711014, 0.0031316476
11.7751598358, 3.0973711014, -0.0020859705
11.7851715088, 3.0973711014, -0.0010456773
11.7951421738, 3.0973711014, 0.0001354605
11.8051118851, 3.0973711014, -0.0000252689
11.8150806427, 3.0973711014, -0.0011612531
11.8250617981, 3.0973711014, -0.0031316476
11.8350629807, 3.0973711014, 0.0042224787
11.8450651169, 3.0973711014, 0.0021563927
11.8550653458, 3.0973711014, -0.0032020700
11.8650684357, 3.0973711014, -0.0021365080
11.8750696182, 3.0973711014, 0.0010655620
11.8850698471, 3.0973711014, 0.0002763050
11.8950719833, 3.0973711014, 0.0001155757
11.9050741196, 3.0973711014, 0.0010456773
11.9150762558, 3.0973711014, -0.0010908308
11.9250755310, 3.0973711014, 0.0021311240
11.9350748062, 3.0973711014, -0.0000451535
11.9450759888, 3.0973711014, -0.0009752550
11.9550762177, 3.0973711014, 0.0010204085
11.9650793076, 3.0973711014, -0.0021112394
11.9751577377, 3.0973711014, 0.0032219547
11.9852342606, 3.0973711014, -0.0032020700
11.9952001572, 3.0973711014, 0.0011107154
12.0050897598, 3.0973711014, 0.0021816615
12.0150880814, 3.0973711014, -0.0032273389
12.0253181458, 3.0973711014, 0.0031966860
12.0353975296, 3.0973711014, -0.0002311515
12.0454750061, 3.0973711014, 0.0010402931
12.0555381775, 3.0973711014, 0.0041972101
12.0655126572, 3.0973711014, 0.0041972101
12.0755844116, 3.0973711014, -0.0010456773
12.0856657028, 3.0973711014, -0.0012316755
12.0957279205, 3.0973711014, 0.0011359842
12.1053056717, 3.0973711014, -0.0021816615
12.1157808304, 3.0973711014, -0.0010655620
12.1257495880, 3.0973711014, -0.0021365080
12.1358156204, 3.0973711014, 0.0061928728
12.1459026337, 3.0973711014, -0.0001155757
12.1559705734, 3.0973711014, 0.0020155483
12.1660490036, 3.0973711014, 0.0022268151
12.1760177612, 3.0973711014, -0.0062181419
12.1860799789, 3.0973711014, 0.0041267872
12.1961660385, 3.0973711014, 0.0018999723
12.2057323456, 3.0973711014, 0.0010908308
12.2162141800, 3.0973711014, 0.0019956634
12.2262639999, 3.0973711014, 0.0019252414
12.2363405228, 3.0973711014, 0.0021762773
12.2463197708, 3.0973711014, 0.0020607018
12.2563934326, 3.0973711014, 0.0041267872
12.2664651871, 3.0973711014, -0.0020859705
12.2765235901, 3.0973711014, -0.0001661133
12.2865085602, 3.0973711014, -0.0001607293
12.2965936661, 3.0973711014, 0.0052428870
12.3061618805, 3.0973711014, -0.0041773249
12.3167152405, 3.0973711014, 0.0020408169
12.3266887665, 3.0973711014, -0.0023171220
12.3367424011, 3.0973711014, 0.0030413407
12.3467578888, 3.0973711014, 0.0030864943
12.3568210602, 3.0973711014, 0.0051923492
12.3668928146, 3.0973711014, 0.0071880128
12.3768730164, 3.0973711014, -0.0011359842
